Route_Num_1,Route_Num_2,Stop_ID,Pattern_ID_1,Pattern_ID_2,change_num
150,180,57454,21150186,21180095,119
236,238,74390,20236060,11238060,119
14,14,,10014545,11014002,119
3,4,,10003505,11004004,119
4,3,,20004005,21003523,119
2,2,,20002011,21002511,119
4,3,,20004005,21003521,119
4,4,,20004010,21004511,119
54,5,19940,10054109,11005040,119
12,10,1400,10012025,11010018,119
12,10,1400,10012024,11010018,119
105,105,,11105009,20105010,119
125,11,15445,10125012,11011030,119
85,85,,21085011,10085008,119
132,24,30635,10132359,11024074,119
131,24,30635,10131087,11024074,119
132,24,30635,10132359,11024076,119
131,24,30635,10131080,11024076,119
12,12,,21012016,10012024,119
67,65,9610,20067057,11065064,119
68,31,75406,20068051,31031024,119
7,7,,21007011,10007029,119
162,600,,10162031,20600005,119
331,345,5489,30331014,20345005,119
280,280,620,21280025,10280030,119
75,330,10860,31075145,31330004,119
204,203,64140,10204017,41203034,119
4,36,,20004005,21036378,119
44,44,,11044011,20044006,119
5,54,7430,20005136,21054097,119
55,55,,10055290,21055291,119
28,23,18380,20028493,21023005,119
25,25,,20025055,11025054,119
33,39,2220,20033050,21039408,119
33,39,2220,20033049,21039408,119
15,15,,11015991,20015993,119
24,131,20740,20024063,21131083,119
43,44,25751,11043043,11044011,119
121,121,190,10121069,21121081,119
48,48,,10048526,11048017,119
232,232,,30232098,41232106,119
345,331,5493,11345006,41331025,119
21,15,15290,10021355,11015983,119
56,18,15290,10056079,11018478,119
22,18,15290,10022085,11018479,119
23,28,30635,10023016,11028510,119
150,180,57454,21150186,21180090,119
65,67,25210,20065057,11067060,119
4,4,,11004016,20004010,119
14,14,,11014017,20014005,119
2,2,,11002020,20002011,119
3,3,,20003014,21003521,119
187,187,,21187013,10187008,119
187,187,,21187012,10187008,119
183,153,57453,10183030,10153018,119
81,81,,11081004,20081005,119
110,110,,21110021,10110019,119
203,203,,41203031,30203036,119
11,125,1085,20011041,21125023,119
11,125,1085,20011041,21125026,119
28,23,18380,20028489,21023005,119
4,4,,10004513,11004019,119
330,75,76700,40330006,40075142,119
248,248,,41248030,30248018,119
25,25,,20025056,11025054,119
5,54,7430,20005135,21054114,119
83,83,,11083004,20083008,119
44,43,10911,20044009,20043050,119
148,107,46468,10148007,10107014,119
22,15,15290,10022085,11015983,119
56,15,15290,10056079,11015984,119
21,15,15290,10021354,11015984,119
23,28,30635,10023015,11028502,119
540,540,,30540523,41540521,119
180,180,,21180095,10180086,119
540,540,,41540520,30540524,119
51,51,,20051002,11051001,119
70,70,,11070032,20070022,119
4,3,,20004020,21003521,119
4,4,,20004020,21004511,119
203,203,,41203033,30203001,119
17,27,26665,20017056,21027019,119
125,11,15445,10125015,11011030,119
14,12,1085,20014014,21012017,119
49,7,1085,20049009,21007002,119
7,7,,21007011,10007009,119
118,118,,21118335,10118347,119
179,600,,10179035,20600005,119
331,345,5489,30331015,20345005,119
168,164,,30168025,41164020,119
203,204,64140,30203037,21204015,119
203,203,,41203034,30203036,119
118,118,,10118346,21118349,119
4,4,,10004513,11004015,119
4,4,,10004513,11004017,119
48,48,,20048019,21048527,119
124,124,619,10124029,21124032,119
24,131,20740,20024061,21131083,119
24,131,20740,20024063,21131082,119
21,18,15290,10021355,11018477,119
41,41,,20041211,11041204,119
