stop_id, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url
LONGLAKE, Long Lake Metra, , 42.3680556, -88.1280556, J, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.LONGLAKE.html
ROUNDLAKE, Round Lake Metra, , 42.3544444, -88.0941667, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.ROUNDLAKE.html
GRAYSLAKE, Grayslake Metra, , 42.3336111, -88.0433333, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.GRAYSLAKE.html
LIBERTYVIL, Libertyville Metra, , 42.2911111, -87.9563889, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.LIBERTYVIL.html
LAKEFRST, Lake Forest Metra, , 42.2236111, -87.8747222, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.LAKEFRST.html
DEERFIELD, Deerfield Metra, , 42.1680556, -87.8500000, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.DEERFIELD.html
LAKECOOKRD, Lake-Cook Metra, , 42.1516667, -87.8413889, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.LAKECOOKRD.html
NBROOK, Northbrook Metra, , 42.1269444, -87.8277778, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.NBROOK.html
NGLENVIEW, Glen/N. Glenview Metra, , 42.0975000, -87.8158333, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.NGLENVIEW.html
GLENVIEW, Glenview Metra, , 42.0750000, -87.8055556, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.GLENVIEW.html
GOLF, Golf Metra, , 42.0583333, -87.7969444, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.GOLF.html
MORTONGRV, Morton Grove Metra, , 42.0350000, -87.7852778, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.MORTONGRV.html
EDGEBROOK, Edgebrook Metra, , 41.9977778, -87.7655556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.EDGEBROOK.html
FORESTGLEN, Forest Glen Metra, , 41.9780556, -87.7555556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.FORESTGLEN.html
MAYFAIR, Mayfair Metra, , 41.9597222, -87.7458333, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.MAYFAIR.html
GRAYLAND, Grayland Metra, , 41.9488889, -87.7402778, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.GRAYLAND.html
HEALY, Healy Metra, , 41.9247222, -87.7277778, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.HEALY.html
WESTERNAVE, Western Ave Metra, , 41.8891667, -87.6880556, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.WESTERNAVE.html
RAVINIAPK, Ravinia Park Metra, , 42.1580556, -87.7769444, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.RAVINIAPK.html
INDIANHILL, Indian Hill Metra, , 42.0944444, -87.7238889, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.INDIANHILL.html
KENOSHA, Kenosha Metra, , 42.5858333, -87.8258333, K, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.KENOSHA.html
HARVARD, Harvard Metra, , 42.4197222, -88.6175000, M, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.HARVARD.html
WOODSTOCK, Woodstock Metra, , 42.3169444, -88.4475000, K, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.WOODSTOCK.html
CRYSTAL, Crystal Lake Metra, , 42.2441667, -88.3172222, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.CRYSTAL.html
MCHENRY, McHenry Metra, , 42.3433333, -88.2761111, K, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.MCHENRY.html
CARY, Cary Metra, , 42.2088889, -88.2413889, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.CARY.html
FOXRG, Fox River Grove Metra, , 42.1977778, -88.2194444, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.FOXRG.html
BARRINGTON, Barrington Metra, , 42.1527778, -88.1319444, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.BARRINGTON.html
PALATINE, Palatine Metra, , 42.1130556, -88.0483333, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.PALATINE.html
ARLINGTNPK, Arlington Park Metra, , 42.0952778, -88.0091667, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.ARLINGTNPK.html
ARLINGTNHT, Arlington Heights Metra, , 42.0841667, -87.9836111, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.ARLINGTNHT.html
MTPROSPECT, Mt. Prospect Metra, , 42.0630556, -87.9361111, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.MTPROSPECT.html
CUMBERLAND, Cumberland Metra, , 42.0525000, -87.9122222, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.CUMBERLAND.html
DESPLAINES, Des Plaines Metra, , 42.0408333, -87.8866667, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.DESPLAINES.html
DEEROAD, Dee Road Metra, , 42.0241667, -87.8561111, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.DEEROAD.html
PARKRIDGE, Park Ridge Metra, , 42.0102778, -87.8316667, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.PARKRIDGE.html
IRVINGPK, Irving Park Metra, , 41.9525000, -87.7297222, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.IRVINGPK.html
BIGTIMBER, Big Timber Metra, , 42.0586111, -88.3277778, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.BIGTIMBER.html
ELGIN, Elgin Metra, , 42.0361111, -88.2861111, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.ELGIN.html
NATIONALS, National St Metra, , 42.0263889, -88.2788889, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.NATIONALS.html
HANOVERP, Hanover Park Metra, , 41.9880556, -88.1491667, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.HANOVERP.html
SCHAUM, Schaumburg Metra, , 41.9891667, -88.1180556, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.SCHAUM.html
ROSELLE, Roselle Metra, , 41.9813889, -88.0672222, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.ROSELLE.html
MEDINAH, Medinah Metra, , 41.9780556, -88.0508333, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.MEDINAH.html
ITASCA, Itasca Metra, , 41.9713889, -88.0141667, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.ITASCA.html
WOODDALE, Wood Dale Metra, , 41.9625000, -87.9752778, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.WOODDALE.html
BENSENVIL, Bensenville Metra, , 41.9569444, -87.9419444, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.BENSENVIL.html
MANNHEIM, Mannheim Metra, , 41.9416667, -87.8833333, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.MANNHEIM.html
